# OLD_NAME, NEW_NAME
I. E. Shparlinskiy,Igor Shparlinski
I. E. Shparlinski,Igor Shparlinski
Stephen Fenner,Stephen A. Fenner
Luí Monteiro,Luís Monteiro
Manual Carro,Manuel Carro
Hein Züllighoven,Heinz Züllighoven
Tin-Ting Y. Lin,Ting-Ting Y. Lin
R. Männer,Reinhard Männer
Luis Fariña del Cerro,Luis Fariñas del Cerro
Ray Madachy,Raymond J. Madachy
K. Lawrence Chung,Lawrence Chung
Mike V. D. Burmester,Mike Burmester
Cristof Fetzer,Christof Fetzer
&gt,Liang-Fang Chao,Liang-Fang Chao
F. Correa da Silva,Flávio S. Corrêa da Silva
K. S. Barber,K. Suzanne Barber
J. Cuena,José Cuena
M. Schroeder,Michael Schroeder
N. Sendrier,Nicolas Sendrier
Tomas Johansson,Thomas Johansson
Nick R. Jennings,Nicholas R. Jennings
M. Linster,Marc Linster
Thomas S. Anantharaman Roberto Bisiani,Thomas S. Anantharaman
Thomas Anantharaman,Thomas S. Anantharaman
B. Sengupta,Bhaskar Sengupta
Bhashar Sengupta,Bhaskar Sengupta
Dabiel Gajski,Daniel Gajski
Abdres Rudmik,Andres Rudmik
Jane W. S. Liu,Jane W.-S. Liu
L. E. Sucar,Luis Enrique Sucar
Y. Richard Wong,Y. Richard Wang
M. Zargham,M. R. Zargham
Hwee Hwa Pang,HweeHwa Pang
W. K. Yeap,Wai K. Yeap
A. Meisels,Amnon Meisels
J. A. Morrison,John A. Morrison
Howard J. Hamilton Nick Cercone,Howard J. Hamilton
W. D. Potter,Walter D. Potter
S. Burckel,Serge Burckel
David L. Welle,David L. Wells
Uffe Kock Will,Uffe Kock Wiil
Anna H. H. Ngu,Anne H. H. Ngu
M. A. Vassiouni,Mostafa A. Bassiouni
Shyan-Ming,Shyan-Ming Yuan
S. B. Yao,S. Bing Yao
Andy Wellings,Andy J. Wellings
A. J. Wellings,Andy J. Wellings
A. W. M. Smeulders,Arnold W. M. Smeulders
William Rapaport,William J. Rapaport
A. P. White,Allan P. White
W. Z. Liu,Wei Zhong Liu
P. M. Chau,Paul M. Chau
J. G. L. vam der Wees,J. G. L. van der Wees
Á. Seress,Ákos Seress
lan M. Frisch,Alan M. Frisch
W. Y. Sit,William Y. Sit
Sergey G. Vorobyov,Sergei G. Vorobyov
G. J. Reid,Gregory J. Reid
William Mangione-Smith,William H. Mangione-Smith
Robert Francis,Robert J. Francis
M. Yousef Aamin Khalidi,M. Yousef Amin Khalidi
Já Demetrovics,János Demetrovics
S. P. Levitan,Steven P. Levitan
D. M. Chiarulli,Donald M. Chiarulli
Giori Slutzki,Giora Slutzki
Giora Slitzki,Giora Slutzki
Pierre Humblet,Pierre A. Humblet
P. A. Humblet,Pierre A. Humblet
Franciso Garcia,Francisco Garcia
Udo Keller,Udo Kelter
Girish Chandranmenon,Girish P. Chandranmenon
Peter Schäble,Peter Schäuble
E. Zima,Eugene V. Zima
Tsong-Li Wang,Jason Tsong-Li Wang
Philip S. Daniel M. Dias,Philip S. Yu
E. Visser,Eelco Visser
Amit Skukla,Amit Shukla
Andrea H. Sharra,Andrea H. Skarra
M. G. J. van den Brand,Mark van den Brand
Laureano Gonzalez-Vega,Laureano González-Vega
M. Sarrafzadeh,Majid Sarrafzadeh
Majid Sarrafszadeh,Majid Sarrafzadeh
Philip Laird,Philip D. Laird
