# OLD_NAME, NEW_NAME
S. Kimani,Stephen Kimani
M. Yeasin,Mohammad Yeasin
A. Narasimhamurthy,Anand M. Narasimhamurthy
Masaru. Shimbo,Masaru Shimbo
D. Stichling,Dirk Stichling
Pasi Frälnti,Pasi Fränti
E. Ballico,Edoardo Ballico
Mattew K. O. Lee,Matthew K. O. Lee
Eeugene I. Ageenko,Eugene I. Ageenko
C. Matthijs van Waveren,G. Matthijs van Waveren
Steve J. Mead,Steven J. Mead
Michael Rusinowitch,Michaël Rusinowitch
Michaëel Rusinowitch,Michaël Rusinowitch
Patricia Rodriguez-Gianolli,Patricia Rodríguez-Gianolli
Patricia Rodriguez-Guianolli,Patricia Rodríguez-Gianolli
Nicolas Perez de la Blanca,Nicolas Pérez de la Blanca
Peter D. Moses,Peter D. Mosses
A. Jorge,Alípio Jorge
J. P. Verjus,Jean-Pierre Verjus
M. Clint,Maurice Clint
Jon. D. Patrick,Jon D. Patrick
P. Aibar,Pablo Aibar
T. Rohlfing,Torsten Rohlfing
Tortsen Rohlfing,Torsten Rohlfing
Maarten W. van Someren,Maarten van Someren
Maarsten van Someren,Maarten van Someren
P. H. Van Knippenberg,P. H. van Knippenberg
L. Gong,Leiguang Gong
T. Peters,Terry M. Peters
Aline Da Rocha Gesualdi,Aline da Rocha Gesualdi
J. McCarthy,John McCarthy
M. J. Fournier,Maurille J. Fournier
Lé J. M. Rothkrantz,Léon J. M. Rothkrantz
B. Rehder,Bob Rehder
Jeffrey M. VanderKam,Jeffrey M. Vanderkam
M. Ramscar,Michael Ramscar
William F. G. Haselager,Willem F. G. Haselager
James Marshall,James A. R. Marshall
P. Singh,Push Singh
Robert French,Robert M. French
Dimitrii V. Pasechnik,Dmitrii V. Pasechnik
Gianluca de Marco,Gianluca De Marco
M. Ferraresso,Massimo Ferraresso
E. T. Mueller,Erik T. Mueller
Sebastien Cantarell,Sébastien Cantarell
Javier Lerch,F. Javier Lerch
A. Sloman,Aaron Sloman
Nickolas Ayache,Nicholas Ayache
D. Riecken,Doug Riecken
Qasim H. Mehdi,Quasim H. Mehdi
R. Brimacombe,Richard Brimacombe
S. Bouchenak,Sara Bouchenak
C. Ferri-Ramírez,César Ferri
J. M. Almendros-Jiménez,Jesús Manuel Almendros-Jiménez
Juan Carlos Pérez-Cortés,Juan Carlos Pérez-Cortes
Alexander G. Gelbukh,Alexander F. Gelbukh
Enrique Vidal Ruiz,Enrique Vidal
P. De Meo,Pasquale De Meo
Jaime Sánchez Hernández,Jaime Sánchez-Hernández
Stephane Donikian,Stéphane Donikian
Francesc J. Ferri,Francese J. Ferri
María-Esther Vidal,Maria-Esther Vidal
Francky Catthoorz,Francky Catthoor
Lushen Wang,Lusheng Wang
Ricardo A. L. Reis,Ricardo Augusto da Luz Reis
Ricardo Reis,Ricardo Augusto da Luz Reis
J. L. Güntzel,José Luis Güntzel
José Güntzel,José Luis Güntzel
S. Ruhl,Stephan Rühl
M. Viswanathan,Mahesh Viswanathan
M. S. Balan,M. Sakthi Balan
Timo Hamalainen,Timo Hämäläinen
H. Birkhofer,Herbert Birkhofer
L. D. Kabulepa,Lukusa D. Kabulepa
Marcelo Johann,Marcelo O. Johann
T. Pionteck,Thilo Pionteck
Benjamin Levine,Benjamin A. Levine
Herman H. Schmit,Herman Schmit
Juan C. Lopez,Juan Carlos López
Luis M. P. Lopes,Luís M. B. Lopes
Luis M. B. Lopes,Luís M. B. Lopes
Luís Lopes,Luís M. B. Lopes
Cheng-Yen Kao,Cheng-Yan Kao
Cheng-Yuan Kao,Cheng-Yan Kao
Arne Anderson,Arne Andersson
A. Andersson,Arne Andersson
M. Jamshidi,Mohammad Jamshidi
Mo Jamshidi,Mohammad Jamshidi
Ulirch Eckhardt,Ulrich Eckhardt
Aantonio Brogi,Antonio Brogi
Rudolph Kruse,Rudolf Kruse
Hock Hai Teo,Hock-Hai Teo
ANTONín Dvorák,Antonín Dvorák
S. Tulipani,Sauro Tulipani
Krzystof Giaro,Krzysztof Giaro
M. Randell Holmes,M. Randall Holmes
C. Lucet,Corinne Lucet
Jeff P. Paris,Jeff B. Paris
R. Giuntini,Roberto Giuntini
Lawrence Bull,Larry Bull
A. G. Pipe,Anthony G. Pipe
Manuel Ojeda,Manuel Ojeda-Aciego
A. Valsasna,Anna Valsasna
M. Dezani,Mariangiola Dezani-Ciancaglini
Damon Liu,Damon Shing-Min Liu
P. Konana,Prabhudev Konana
Philp Seltsikas,Philip Seltsikas
Benjamín R. Callejas Bedregal,Benjamín René Callejas Bedregal
Si Qing Zheng,Si-Qing Zheng
David de Frutos Escrig,David de Frutos-Escrig
A. Vellido,Alfredo Vellido
G. Gerla,Giangiacomo Gerla
Ingeborg Tastle,Ingeborg Tastl
F. Boussaid,Farid Boussaid
Marcos A. Gonçalves,Marcos André Gonçalves
Jon ROWSON,Jon Rowson
Alessando Roncato,Alessandro Roncato
José Luis-Pérez-de-la-Cruz,José-Luis Pérez-de-la-Cruz
Stefan Mangegold,Stefan Manegold
Shi-Fu Chen,Shifu Chen
Q.-H. Max Meng,Max Q.-H. Meng
Max Meng,Max Q.-H. Meng
David Rattner,David W. Rattner
D. W. Rattner,David W. Rattner
M. A. Diftler,Myron A. Diftler
Myron Diftler,Myron A. Diftler
Stella Atkins,M. Stella Atkins
P. Hagmann,Patric Hagmann
N. C. Tsourveloudis,Nikos Tsourveloudis
Silvia D. Olabarriaga,Sílvia D. Olabarriaga
A. J. Fernández,Antonio J. Fernández
Oliver Company,Olivier Company
R. Johansson,Rolf Johansson
Colin De La Higuera,Colin de la Higuera
S. Chawla,Shuchi Chawla
Thomas G. Sugar,Thomas Sugar
Mazilu Dumitru,Dumitru Mazilu
Ali Goktogan,Ali Göktogan
M. Buchholtz,Mikael Buchholtz
Güther Schmidt,Günther Schmidt
Sebastien Nussbaum,Sébastien Nussbaum
Olga R. P. Bellon,Olga Regina Pereira Bellon
Reiner Hänle,Reiner Hähnle
J. N. Oliveira,José Nuno Oliveira
José N. Oliveira,José Nuno Oliveira
Trevor Heritage,Trevor W. Heritage
T. Heritage,Trevor W. Heritage
Fahd K. Al-Bin-Ali,Fahd Al-Bin-Ali
Fahd Al-bin-ali,Fahd Al-Bin-Ali
S. Di Carlo,Stefano Di Carlo
Stefano DiI Carlo,Stefano Di Carlo
ajn G. Korvink,Jan G. Korvink
J. G. Korvink,Jan G. Korvink
A. Benso,Alfredo Benso
L. S. Barbosa,Luís Soares Barbosa
Christopher. Nimsky,Christopher Nimsky
F. Javier Ramirez Fernandez,Francisco Javier Ramirez Fernandez
Markus Büchler,Markus W. Büchler
Brigitta König-Ries,Birgitta König-Ries
D. Richter,Detlef Richter
Jochem Malte Küster,Jochen Malte Küster
S. Großkopf,Stefan Großkopf
Ulf Dietrich Braumann,Ulf-Dietrich Braumann
E. Sorantin,Erich Sorantin
Amitava Mukhertjee,Amitava Mukherjee
A. M. Ferguson,Allan M. Ferguson
Erik de Vink,Erik P. de Vink
T. Daradoumis,Thanasis Daradoumis
Man-Leung Wong,Man Leung Wong
P. Hassenpflug,Peter Hassenpflug
Calvin R. Maurer,Calvin R. Maurer Jr.
Hyun Sung Kim,Hyun-Sung Kim
Kwang Hyung Lee,Kwang-Hyung Lee
Janos Abonyi,János Abonyi
Michael R. Kaus,Michael Kaus
W. Löwe,Welf Löwe
Patrick BréZillon,Patrick Brézillon
M. Gueld,Mark Oliver Güld
W. Hohenberger,Werner Hohenberger
R. W. Günther,Rolf W. Günther
F. Vogt,Florian Vogt
D. P. Auer,Dorothee Auer
C. H. Schick,Christoph Schick
G. Di Natale,Giorgio Di Natale
Ernestina Menasalvas,Ernestina Menasalvas Ruiz
Russel J. Deaton,Russell J. Deaton
Russell Deaton,Russell J. Deaton
Harald F. O. v. Kortzfleisch,Harald F. O. von Kortzfleisch
Harald F. O. VonKortzfleisch,Harald F. O. von Kortzfleisch
Norm Archer,Norman P. Archer
Caroline Beam,Carrie Beam
Danielle Fowler,Danielle C. Fowler
Cuesta E. Cuesta,Carlos Enrique Cuesta Quintero
Fédéric Cuppens,Frédéric Cuppens
Wolfgang Mueller-Wittig,Wolfgang Müller-Wittig
Pablode la Fuenta Redondo,Pablo de la Fuente
Greg Bollella,Gregory Bollella
Ram Mohan,Ram V. Mohan
A. M. Gibbons,Alan Gibbons
V. Catania,Vincenzo Catania
D. W. Corne,David Corne
Inmants D. Svalbe,Imants D. Svalbe
Maria Sessa,Maria I. Sessa
Andrew Russell,R. Andrew Russell
Francois Guimbretiére,Francois Guimbretière
L. Martínez,Luis Martínez
Emile Aarts,Emile H. L. Aarts
Pyung-Hun Chang,Pyung Hun Chang
Tzu-Tin Wang,Tzu-Ting Wang
M. C. Schut,Martijn C. Schut
Martijn Schut,Martijn C. Schut
A. Albanese,Andres Albanese
Ingrid Jansch Porto,Ingrid Jansch-Pôrto
P. Rullo,Pasquale Rullo
John King,John Leslie King
Clive Wrigley,Clive D. Wrigley
D. Saccá,Domenico Saccà
Jóse Júlio Alferes,José Júlio Alferes
P. Couderc,Paul Couderc
D. Tilbury,Dawn M. Tilbury
Dawn Tilbury,Dawn M. Tilbury
Baltasar Fernández-Manjón B,Baltasar Fernández-Manjón
Baltasar Fernandez-Manjon,Baltasar Fernández-Manjón
Korris F. L. Chung,Korris Fu-Lai Chung
Fu-Lai Chung,Korris Fu-Lai Chung
A. Colbaugh,Richard Colbaugh
R. Colbaugh,Richard Colbaugh
W. Y,Wei-Ying Ma
Brendan D. Mckay,Brendan D. McKay
Prabhudev Konan,Prabhudev Konana
R. G. Fenton,Robert G. Fenton
Schuler,Hans Schuler
K. W,K. W. Hipel
Hartmutönig,Hartmut König
Leandro Nunes de Castro,Leandro N. de Castro
Weinberger,Marcelo J. Weinberger
Philip M. Marden,Philip M. Marden Jr.
Enis,Enis Avdicausevic
Thomas V. Thompson,Thomas V. Thompson II
José,José A. B. Fortes
Piotr Gaqrysiak,Piotr Gawrysiak
E. Hotzel,Eckehart Hotzel
Jérõme Barraquand,Jérôme Barraquand
Brian Eberman,Brian S. Eberman
F. L. Palmer,Fiona Palmer
Hinrich SChütze,Hinrich Schütze
Trevor Martin,Trevor P. Martin
Nikolay Mirenkov,Nikolay N. Mirenkov
Marina,Marina Moscarini
Valentin Valero,Valentín Valero Ruiz
J.-P. Urban,Jean-Philippe Urban
Francesca Arcelli,Francesca Arcelli Fontana
Daniel M. German,Daniel M. Germán
Pablo Gonzalez de Santos,Pablo González de Santos
J. Philipps,Jan Philipps
Félix de Moya,Félix de Moya Anegón
Erik Würbel,Eric Würbel
L. Rossides,Loukas Rossides
Z. Q. Liu,Zhi-Qiang Liu
G. Campion,Gianni Campion
Debra J. Richardso,Debra J. Richardson
Kao,Chiang Kao
MarkMestern,Mark Mestern
S. Sessa,Salvatore Sessa
José-LuisMarzo,José-Luis Marzo
J. Kenneth Salisbury,John Kenneth Salisbury Jr.
Stefan M,Stefan M. Rüger
D. K. Tasoulis,Dimitris K. Tasoulis
D. Tasoulis,Dimitris K. Tasoulis
A. Russell,Alexander Russell
Alexander C. Russell,Alexander Russell
Rafael Morales,Rafael Morales Bueno
R. Morales-Bueno,Rafael Morales Bueno
Carol O' Sullivan,Carol O'Sullivan
Carlo O'Sullivan,Carol O'Sullivan
F. Triguero-Ruiz,Francisco Triguero Ruiz
Francisco Triguero-Ruiz,Francisco Triguero Ruiz
Sumanta Pattanaik,Sumanta N. Pattanaik
Sumant N. Pattanaik,Sumanta N. Pattanaik
Sumanita N. Pattanaik,Sumanta N. Pattanaik
Lutz Strassburger,Lutz Straßburger
R. Freund,Rudolf Freund
Wiliam Perrizo,William Perrizo
Walid Aref,Walid G. Aref
Rov J. van Glabbeek,Rob J. van Glabbeek
Mikhail Alekhnovich,Michael Alekhnovich
Hector Yee,Yangli Hector Yee
Oliver Serre,Olivier Serre
Jack J. Dai,Jack Jie Dai
V. Lalioti,Vali Lalioti
Pankoo Kim,PanKoo Kim
R. Conejo,Ricardo Conejo
Ernst Doberkat,Ernst-Erich Doberkat
Byron E. Dom,Byron Dom
Bill Chiu,Bill Yuan-chi Chiu
G. Dong,Guozhu Dong
Alexey Lastovetsky,Alexey L. Lastovetsky
Michael Rodgers,Mike Rodgers
J. F. A. K. Van Benthem,Johan van Benthem
J. F. A. K. van Benthem,Johan van Benthem
Philipe A. Janson,Philippe A. Janson
P. A. Janson,Philippe A. Janson
Rohit Parik,Rohit Parikh
Federic Comby,Frederic Comby
Paul Vitányi,Paul M. B. Vitányi
José M. Serrano,José-María Serrano
Byong-Tak Zhang,Byoung-Tak Zhang
O. Yli-Harja,Olli Yli-Harja
Maytal Saar Tsechansky,Maytal Saar-Tsechansky
I. L. Humberstone,Lloyd Humberstone
John C. Langford,John Langford
Sylvie Delaet,Sylvie Delaët
J. Kleinberg,Jon M. Kleinberg
G. F. Coulouris,George Coulouris
Tony Van-Gestel,Tony Van Gestel
D. N. Nenchev,Dragomir N. Nenchev
Rene Beier,René Beier
Eugene Shragowitz.,Eugene Shragowitz
H. Tsukune,Hideo Tsukune
A. Branca,Antonella Branca
A. Joukhadar,Ammar Joukhadar
T. Rosen,Tzachi Rosen
D. G. Glynn,David G. Glynn
Jean-Francois Huard,Jean-François Huard
Y. Y. Zeevi,Yehoshua Y. Zeevi
T. Klove,Torleiv Kløve
Jovan D. Golic,Jovan Dj. Golic
Detlef Huehnlein,Detlef Hühnlein
Hans-Jörg Vogel,Hans-Jörg Vögel
Jasmin Wason,Jasmin L. Wason
C. Woenckhaus,Christoph Woenckhaus
A. Distante,Arcangelo Distante
Dirk Feudenstein,Dirk Freudenstein
Henk A. C. van Tilborg,Henk C. A. van Tilborg
Kitagaki,Kosei Kitagaki
Henrik Engströ,Henrik Engström
Thomas Gerace,Thomas A. Gerace
Elizabeth Churchill,Elizabeth F. Churchill
Ana Paula Ludtke Ferreira,Ana Paula Lüdtke Ferreira
Aloysiu Cornelio,Aloysius Cornelio
H. Reichel,Horst Reichel
Robert Arnold,Robert D. Arnold
G. Gala,Sunit K. Gala
Jose Tortajada,José Tortajada
Bjarni Halldo'rsson,Bjarni V. Halldórsson
Hakan Delic,Hakan Deliç
Gerrit. A. Blaauw,Gerrit A. Blaauw
Posenjit Bose,Prosenjit Bose
P. Bose,Prosenjit Bose
I. Akiyama1,Iwaki Akiyama
I. Akiyamal,Iwaki Akiyama
Risto Miikulainen,Risto Miikkulainen
Risto Mikkulainen,Risto Miikkulainen
Bernd Kleinjoahann,Bernd Kleinjohann
Bernd Kleinnjohann,Bernd Kleinjohann
Kennath A. Hawick,Kenneth A. Hawick
Nenad Trinajsti,Nenad Trinajstic
N. Trinajstic,Nenad Trinajstic
N. Trinajsti,Nenad Trinajstic
Richard Schuler,Richard E. Schuler
R. E. Schuler,Richard E. Schuler
M Danelutto,Marco Danelutto
M Wazlowski,Michael E. Wazlowski
Hebert Witte,Herbert Witte
Sigurður F. Marinosson,Sigurður F. Marinósson
Ingrid Van De Voorde,Ingrid Van de Voorde
Mirette Marzouk,Mirette S. Marzouk
R. in't Velt,R. in 't Velt
R. G. Forsythe Jr.,Ronald G. Forsythe Jr.
Ken-ichi-Kobori,Ken-ichi Kobori
Ignacio Martn,Ignacio Martín
P Vranas,P. Vranas
Andreas Gehrmeyr,Andreas Gehmeyr
D. Neé,D. Née
Dror G. Feltelson,Dror G. Feitelson
Carole A. Gobble,Carole A. Goble
Leila Merghem,Leïla Merghem
Nickals Lundblad,Nicklas Lundblad
Nalini Venkatasubramania,Nalini Venkatasubramanian
Fabio Korn,Fabio Kon
K. U. Drangmeister,Kay U. Drangmeister
RingoW. K. Lam,Ringo W. K. Lam
Wolfgang Straße,Wolfgang Straßer
Miguel Ángel Villarroel,Miguel Villarroel
Hans JJochen Scholl,Hans Jochen Scholl
H. Lorek,Helmut Lorek
Yaron Ben Yehuda,Yaron Ben-Yehuda
William H. Wood,William H. Wood III
N. Rico,Nathalie Rico
Andrei Popovivi,Andrei Popovici
Siliva Nittel,Silvia Nittel
Helmut Prodiner,Helmut Prodinger
A. Rizzi,Alessandro Rizzi
R. Arizio,Riccardo Arizio
Wille Mayerthaler,Willi Mayerthaler
Peter Purgatofer,Peter Purgathofer
Chritopher W. Wilson,Christopher W. Wilson
P. Song,Peilin Song
W. Zanette,Walter Zanette
Valerie J. Gillt,Valerie J. Gillet
Pierpaolo Balietto,Pierpaolo Baglietto
Frank van Hermelen,Frank van Harmelen
C. Keil,Clemens Keil
Roland Chrobak,Roland Chrobok
K. Radermacher,Klaus Radermacher
Péter L. Erds,Péter L. Erdös
Larry Birnbaumb,Larry Birnbaum
Yoram Hishfeld,Yoram Hirshfeld
Moustafa Youssef1,Moustafa Youssef
R. Hall,Robert J. Hall
C. Watters,Carolyn Watters
G. Odasso,Giuseppe Odasso
Marc-André,Marc-André Thibodeau
C. Limousin,Claude Limousin
A. Bensefia,Ameur Bensefia
Beat Bruderlin,Beat Brüderlin
Yahya Aidanismah Indigenous Digital Multimedia Content Development for E-learning,Yahya Aidanismah
D. Lessard,Dominic Lessard
iuliana Dettori,Giuliana Dettori
Norbert A. Steritz,Norbert A. Streitz
Brian D. March,Brian D. Marsh
M. Kühl,Markus Kühl
J. Schanda,János Schanda
Tien-ChienChang,Tien-Chien Chang
Iavn Paltor,Ivan Paltor
A. G. Romashchenko,Aida G. Romashchenko
Ana C. Lorena,Ana Carolina Lorena
YeungYam,Yeung Yam
Marí José Moure,María José Moure
C. Carlesi,Carlo Carlesi
ChintanPatel,Chintan Patel
R. Loader,Roger Loader
Rober Weber,Roger Weber
V. Kamp,Vera Kamp
M. P. Liang,Mike P. Liang
Oivind Due Trier,Øivind Due Trier
Christoph W. Keßller,Christoph W. Keßler
C. Frank,Carmen Frank
Francois Baccelli,François Baccelli
Michael Hewett,Micheal Hewett
A. C. H. Lee,Arthur C. H. Lee
Emilio Del Moral Hernandez,Emílio Del Moral Hernandez
René Gouvaerts,René Govaerts
Subbarrao Kambhampati,Subbarao Kambhampati
HugoJ. T. de Carvalho,Hugo J. T. de Carvalho
Christopher J. Class,Christopher J. Glass
Angie Voß,Angi Voß
M. K. Srivas,Mandayam K. Srivas
Pascalin Amagbegnon,Pascalin Amagbégnon
Lluis Màrquez,Lluís Màrquez
N. B. Centeno,Nuria B. Centeno
J. Haas,Jürgen Haas
A. J. Van Genderen,A. J. van Genderen
T. Villa,Tiziano Villa
W. Cudny,Waldemar Cudny
Camille B. Achour,Camille Ben Achour
Kurt Mary,Kurt Maly
M. Schlenkrich,Michael Schlenkrich
Maria C. Garcia- Alegre,Maria C. Garcia-Alegre
SungGi Min,Sung-Gi Min
R. Hanka,Rudolf Hanka
Poh-Kok Loo,Poh Kok Loo
D Chen,D. Chen
P. Bey,Pierre Bey
Iulian. Ober,Iulian Ober
Rini Van Solingen,Rini van Solingen
Herve Leblanc,Hervé Leblanc
A. E. Parker,Anthony E. Parker
Jean-Jacques Quisquate,Jean-Jacques Quisquater
Aleksandar M. Baki,Aleksandar M. Bakic
Baio Chen,Biao Chen
Minh B. Do,Minh Binh Do
J. Holtzman,Julian Holtzman
H. B. Nicholas Jr,H. B. Nicholas Jr.
F. Cardinaux,Fabien Cardinaux
K. Schoonover,Kevin Schoonover
HectorJ. Levesque,Hector J. Levesque
Gregory Paris,Grégory Paris
T. Kuhn,Thomas Kuhn
Wiliam F. Schelter,William F. Schelter
E. López-de-Briñas,Elena López-de-Briñas
Goerge T. DeTitta,George T. DeTitta
Sonja Nikoli,Sonja Nikolic
H. Breitweiser,H. Breitwieser
DannyCrookes,Danny Crookes
S. Ryckebusch,Sylvie Ryckebusch
Luz M. De Alba,Luz M. DeAlba
Colette Roland,Colette Rolland
M. F. Kelly,Michael F. Kelly
P. Veríssimo,Paulo Veríssimo
Paulo Verissimo,Paulo Veríssimo
Jirí Matouek,Jirí Matousek
Jirí Matausek,Jirí Matousek
Carl-Fredrick Westin,Carl-Fredrik Westin
Carl-Fredrik Westi,Carl-Fredrik Westin
Michel Wermeldinger,Michel Wermelinger
Michel Wermelinge,Michel Wermelinger
Manfred Glesne,Manfred Glesner
C. Collet,Christine Collet
Cristine Collet,Christine Collet
HongHiang Zhang,HongJiang Zhang
Werner Purathofer,Werner Purgathofer
Werner Pergathofer,Werner Purgathofer
Rosine Cicchette,Rosine Cicchetti
Rosine Ciccetti,Rosine Cicchetti
Søreb Forchhammer,Søren Forchhammer
S. Forchhammer,Søren Forchhammer
Didier Paragot,Didier Parigot
Sam Griffith-Jones,Sam Griffiths-Jones
W. Wiegerinck,Wim Wiegerinck
K. Abegglen,Karin Abegglen
Richard F. Raschid,Richard F. Rashid
Constantine D. Spyropoulo,Constantine D. Spyropoulos
Hans-W. Gellersen,Hans-Werner Gellersen
Daniella Rus,Daniela Rus
Frank-Lothar Kraus,Frank-Lothar Krause
Karl-Friedrich Krais,Karl-Friedrich Kraiss
P. Gemmar,Peter Gemmar
Santosh K. Shrivastav,Santosh K. Shrivastava
R. E. Gustavson,Richard E. Gustavson
Richard Jullig,Richard Jüllig
J. J. Cadiz,Jonathan J. Cadiz
Wolfgang Efflsberg,Wolfgang Effelsberg
Hans Lehrbach,Hans Lehrach
Nicolas Spyrotos,Nicolas Spyratos
TsuneoYoshikawa,Tsuneo Yoshikawa
Ian T. Foste,Ian T. Foster
Erez Patrank,Erez Petrank
Riccard Scattolini,Riccardo Scattolini
Enrico Guinchiglia,Enrico Giunchiglia
T. Zwemstra,Taco Zwemstra
Massimiliano DiPenta,Massimiliano Di Penta
Thomas N Hibbard,Thomas N. Hibbard
Cees Wittevee,Cees Witteveen
Ekkart. Rudolph,Ekkart Rudolph
Bart Prenel,Bart Preneel
M. Dorigo,Marco Dorigo
Georges G. Grinsein,Georges G. Grinstein
Kurt Rothermal,Kurt Rothermel
A. Raab,Andreas Raab
Shafi Goldwasse,Shafi Goldwasser
Herve Gallaire,Hervé Gallaire
Eric Siman,Eric Simon
Friedrich W. Von Henke,Friedrich W. von Henke
Hans W. Guegen,Hans W. Guesgen
Jan Hoggerbrugge,Jan Hoogerbrugge
Nicloas Meuleau,Nicolas Meuleau
Jarrek Nieplocha,Jarek Nieplocha
Endre Szemberédi,Endre Szemerédi
R. Nigel Hoorspool,R. Nigel Horspool
Andrea Corradin,Andrea Corradini
Dora Gimmarresi,Dora Giammarresi
Bernd Becke,Bernd Becker
Mária Mieliková,Mária Bieliková
Jörg Henkal,Jörg Henkel
X. Goaoc,Xavier Goaoc
Dietmar P. F. Mölle,Dietmar P. F. Möller
Tomá A. Pérez,Tomás A. Pérez
Arnon Rosebthal,Arnon Rosenthal
Arantza Illaramendi,Arantza Illarramendi
Paul Petterson,Paul Pettersson
Vladimír Marí,Vladimír Marík
Klaus Tochermann,Klaus Tochtermann
J. Urrutia,Jorge Urrutia
Cathie Mills,Catherine Mills
C. Simone,Carla Simone
Johannes Schuchardt,Johannes Schuchhardt
Gerda Jenssens,Gerda Janssens
B. Chernyavsky,Boris M. Chernyavsky
Yassine Laknech,Yassine Lakhnech
Ketil Støle,Ketil Stølen
Alex Orailogolu,Alex Orailoglu
Micha Shairr,Micha Sharir
Peter Frankhauser,Peter Fankhauser
Didier Dubios,Didier Dubois
Georg Färbe,Georg Färber
J. Gibbons,Jeremy Gibbons
Beat Brüderlein,Beat Brüderlin
J. Cedano,Juan Cedano
Aandreas Spanias,Andreas Spanias
Wolfgang Banzahf,Wolfgang Banzhaf
Wolfgang Felge,Wolfgang Felger
Malu Castellanos,Malú Castellanos
Kewal K. Suluja,Kewal K. Saluja
G. Le Lann,Gérard Le Lann
Marléne Villanova-Oliver,Marlène Villanova-Oliver
Jaime G. Garbonell,Jaime G. Carbonell
Enrio Tronci,Enrico Tronci
Stefan Jänichen,Stefan Jähnichen
Antonio F. Díz,Antonio F. Díaz
Mark Hotchins,Mark Hutchins
Giorgio Brune,Giorgio Bruno
Joos Heinz,Joos Heintz
Cees T. Visse,Cees T. Visser
Markus Fresch,Markus Tresch
Stephen G. Koburov,Stephen G. Kobourov
T. Soussi,Thierry Soussi
Beverly Park Woolff,Beverly Park Woolf
Hauro Noma,Haruo Noma
S. Ben Hamida,Sana Ben Hamida
Pietro D?Ambrosio,Pietro D'Ambrosio
Didier Arquàs,Didier Arquès
Gerhard Schnellhorn,Gerhard Schellhorn
C. Burks,Christian Burks
Helmut Seidel,Helmut Seidl
Edgar Net,Edgar Nett
Oscar Díz,Oscar Díaz
María del Puerto Paule de Ruiz,María del Puerto Paule Ruiz
Oliver Laiten berger,Oliver Laitenberger
Bruce G. Linsay,Bruce G. Lindsay
Kevin Jaffay,Kevin Jeffay
R. Etxeberria,Ramon Etxeberria
Denis Robillard,Denis Robilliard
PatriciaMelin,Patricia Melin
Rebecca J. Passoneau,Rebecca J. Passonneau
Carlo Grezzi,Carlo Ghezzi
Jan van Leeuven,Jan van Leeuwen
Jeff Krame,Jeff Kramer
Steffen Höldobler,Steffen Hölldobler
S. Hellebrand,Sybille Hellebrand
Aandy Schürr,Andy Schürr
Nick Cerone,Nick Cercone
H. Mühlenbein,Heinz Mühlenbein
Christian Bessieère,Christian Bessière
D. Pranenberg,D. Prangenberg
Roland Seifert,Roland Seiffert
Klara Nahrsted,Klara Nahrstedt
LeonidasJ. Guibas,Leonidas J. Guibas
Zeljko Tomovi,Zeljko Tomoviç
Jonathan I. Malethic,Jonathan I. Maletic
Fato T. Yarman Vural,Fatos T. Yarman-Vural
Fatos T. Yarman Vural,Fatos T. Yarman-Vural
Nadine Azemard,Nadine Azémard
N. Azémard,Nadine Azémard
Dan Weinreb,Daniel Weinreb
Danel Weinreb,Daniel Weinreb
Alvaro Romero Jiménez,Álvaro Romero Jiménez
Vincenç Torra,Vicenç Torra
J. Kostrowick,J. Kostrowicki
N. Nikolaou,Nikos A. Nikolaou
António Branco,António Horta Branco
K. Sarasola,Kepa Sarasola
Rodrigo Martínez Béjar,Rodrigo Martínez-Béjar
B. Fang,Bin Fang
Nadipuram R. Prasad,Nadipuram S. Prasad
Indrid Mulder,Ingrid Mulder
M. Banâtre,Michel Banâtre
Nicholas Maudet,Nicolas Maudet
C. Czaplewski,Cezary Czaplewski
Onno Boxma,Onno J. Boxma
Maria Luisa López-Vallejo,Marisa Luisa López-Vallejo
Ina Schieferdecke,Ina Schieferdecker
A. M. Wallace,Andrew M. Wallace
Josep Domingo-Ferre,Josep Domingo-Ferrer
Keith R. Millikenm,Keith R. Milliken
Wolfgang Schroeder-Preikschat,Wolfgang Schröder-Preikschat
Terry Soule,Terence Soule
Andy M. Tyrrell,Andrew M. Tyrrell
Koldo Gojenola,Koldo Gojenola Galletebeitia
Dennis Chao,Dennis L. Chao
Zbigniew W. Ra,Zbigniew W. Ras
R. Slack,Roger Slack
Antonia C. S. Branco,Antonio C. S. Branco
G. Beliakov,Gleb Beliakov
Luís Martínez,Luis Martínez
G. Ghinea,George Ghinea
M. Groth,Malgorzata Groth
Nicolas Stier,Nicolás Stier Moses
F. Karoubalis,Fotis Karoubalis
Alex Taylor,Alex S. Taylor
HanSaem Yun,Han-Saem Yun
S. Perissakis,Stylianos Perissakis
Artur S. Avila Garcez,Artur S. d'Avila Garcez
Mario J. Pérez Jiménez,Mario J. Pérez-Jiménez
Chung Kuo-Liang,Kuo-Liang Chung
C. Eckert,Claudia Eckert
D. N. Lam,Dung N. Lam
Ramó Béjar,Ramón Béjar
J. Q. Sheng,Jianqing Sheng
Minjiee Zhang,Minjie Zhang
Charalambos A. Skianis,Charalampos A. Skianis
J. P. Banâtre,Jean-Pierre Banâtre
Stephen Wicker,Stephen B. Wicker
James A. Fosters,James A. Foster
P. Lorenz,Pascal Lorenz
R. H. Glendinning,Richard H. Glendinning
José Tribolet,José M. Tribolet
Jose M. Tribolet,José M. Tribolet
